Accession Number	Old Classification Number	Title Stroke	Title	Author Stroke	Author	Publisher	Publication Date	Original Title	Summary	Edition	Series	Publication Place	Pages or Duration	Notes	ISBN	Cost	Last Changed	Editor	Verified	Volume	Author Number	Classification Number	Book Type	Format	Media	Translator	Usage	Cataloged Date	Charge	Language
8674		6	行在水面上	0	John Ortberg	校園	2003	"If You Want to Walk on Water,YOu've Got to Get Out"				台灣	317p.			0			FALSE		ORT	248.2					12		0	國 語
8675		12	尋神記—與神相遇世情中	0	Philip Yancey	天道	2003	Finding God on Unexpected Places				香港	250p			0			FALSE		YAN	248.2					10		0	國 語
8676		11	棄俗尋真?0	Charles Swindoll	天道	1993					香港	175p.			0			FALSE		SWI	248.2					2		0	國 語	
8677		6	合神心意的女人	0	Elizabeth George	以琳	2002	The Woman after God's Own Heart				台灣	282p.			0			FALSE		GEO	249.132				黃慶苓	17		0	國 語
8678		9	重尋聖潔	0	J.I.Packer	天道	2002	Rediscovering Holiness				香港?291p.			0			FALSE		PAC	248.2				石彩燕	4		0	國 語	
8679		11	深入非洲三萬里—李文斯頓傳	12	張文亮	校園	2003					台灣?348p.			0			FALSE		ZHA	267.1					7		0	國 語	
8680		13	新造的人—屬靈人的印記	0	Henri J.M.Nouwen	基道	1992	Making All Things New-An Invitation to the Spiritual Life				香港?70p.			0			FALSE		NOU	248.2				莊柔玉	0		0	國 語	
8681		9	俗世聖徒—平凡人的靈性生活	0	Eugene H. Peterson	天道	2001	Leap Over a Wall:Earthy Spirituality for Everyday Christians				香港?247p.			0			FALSE		PET	248.2				匯思	3		0	國 語	
8682		14	墓石懸疑—復活對的千古反思	0	Frank Morison	基道	2003	Who Moved the Stone?				香港	276p.			0			FALSE		MOR	243					0		0	國 語
8683		9	信心的跳躍	0	Gregory A. & Edward K.Boyd	宇宙光	1999	Letters feom a Skeptic				台灣	288p.			0			FALSE		BOY	243.3				陳景亭/王逸人	2		0	國 語
8684		7	男女幸不同	0	Larry Crabb	天道	1998	Men & Women Enjoying the Difference				香港	176p.			0			FALSE		CRA	249.132				陳文深	2		0	國 語
8685		21	屬神的女人	0	Ginger Gabriel	學園	1995	Being A Woman of God				台灣	180p.			0			FALSE		GAB	249.132				李銀鳳	2		0	國 語
8686		8	孤獨的神—後現代的福音派信仰危機	0	David F. Wells	天道	2003	God in the Wasteland				香港	263p.			0			FALSE		WEL	230				呂素琴	2		0	國 語
8687		8	牧杖／權杖—屬靈領袖的操練	0	Allen Webb	證主	2002	The Heart of Godly Leadership				香港	128p.			0			FALSE			255.1					0		0	國 語
8688		6	合神心意的男人	0	Jim George	以琳	2003	The man after God's Own Heart				台灣	220p.			0			FALSE		GEO	249.132				林以舜	6		0	國 語
8689		9	為婚姻立界限	0	Henry Cloudn& John Townsend	台福	2004	Boundaries in Marriage				美國?267p.			0			FALSE		CLO	249.1					5		0	國 語	
8690		8	非常選擇，非常Match	0	Neil Clark Warren	愛家	2001	Finding the Love of Your Life				台灣	295p.			0			FALSE		WAR	249.11				許惠珺	3		0	國 語
8691		8	服侍你的牧者	0	E. Glen Wagner & Glen S. Martin	福音團契	2000	Your Pastor's Heart?Serving the One Who Serves You				香港	243p.			0			FALSE		WAG	253				黃羅燕明	0		0	國 語
8692			裏外更新尋主面	0	Larry Crabb	天道	2003	Finding God				香港	227p.			0			FALSE		CRA	248.2				葉瑞蓮	3		0	國 語
8693		14	蒙福的生命	0	Gordon MacDonald	天道	1998	The Life God Blesses				香港	184p.			0			FALSE		MAC	248.2				李少貞	3		0	國 語
8694			友誼式協談	11	Carol Lesser Baldwin	校園	1998	Friendship Counseling				台灣	335p.			15			FALSE		BAL	250.3					2		0	國 語
8695		8	阿! 自殺	7	Bill Blackburn	宇宙光	2000	What Youn Should Know about Suicide				台灣	222p.			11			FALSE		BLA	250				孫宇斌	3		0	國 語
8696			瞎眼的看見神	0	"Jackson,s.t."	橄欖	2000	Fanny Crosby's of Ninety:Four Years				臺北	103			5.5			FALSE		JAC	267					2		0	國 語
8697		11	教會增長	7	C.Peter Wagner	種籽	1992	YOur Church can Grow				台北	204p.			0			FALSE		WAG	255.3					1		0	國 語
8698		11	基督教文化的挑戰	0	John Stott	宣道	1992	Christian Counter-Culture				香港?242p.			9			FALSE		STO	226.1					3		0	國 語	
8701			海外中國學人事工	20	蘇文峰	校園	2001					美國	185			0			FALSE		SU	266					0		0	國 語
8702			王明道見証	4	王約瑟	中華福音	2000					美國	174			10			FALSE		WAN	267.3					3			國 語
8703			星空下飛翔的教授	12	張文亮	時報文化	2002					臺北	180			14.5			FALSE		CHA	245					4		0	國 語
8704		14	認識真理	12	張郁嵐	逐  家	2004					新加坡	221			0			FALSE		CHA	243					2		0	國 語
8705		9	科學與信仰	13	微言 李文蔚	逐家	2004					新家坡	132			0			FALSE			243					2		0	國 語
8707		8	知己知彼 ( 一，二 )	8	周淑慧	台福	1998					美國	0			0			FALSE		CHO	248			AC		1		0	國 語
8708		8	知己知彼 (三，四 )	8	周淑慧	台福	1998					美國	0			0			FALSE		CHO	248			AC		1		0	國 語
8709		13	愛與管教。管與教 (一，二)	12	黃清一	台福	1998					美國	0			0			FALSE		HUA	249			AC		0		0	國 語
8710		12	創造良好的親子關係C管與教(三，四)	12	黃清一	台福	1998					美國	0			0			FALSE		HUA	249			AC		0		0	國 語
8711		8	金色年華 (一，二)	14	浟然	台福	1998					美國	0			0			FALSE		YIU	249			AC		3		0	國 語
8712		8	金色年華 (三，四)	14	浟然	台福	1998					美國	0			0			FALSE		YIU	249			AC		2		0	國 語
8713		8	知己知彼 (一，二)	8	周淑華	台福	1998					美國	0			0			FALSE		CHO	250			AC		0		0	國 語
8714		8	知己知彼 (三，四)	8	周淑華	台福	1998					美國	0			0			FALSE		CHO	250			AC		0		0	國 語
8715		7	我的平安	4	中原大學	中原大學	2002					台灣	0			0			FALSE		CHO	257.2			CD		4		0	國 語
8716		14	認識真理(修訂本)	12	張郁嵐	使者	2000					新加坡	221			0			FALSE		CHA	231					1		0	國 語
8718		11	啟示錄	0		証主	2003					加州	746			0		徐華	FALSE		HSU	228					3		0	國 語
8719		15	標竿人生	0	"WARREN, Rick"	使者	2003					賓州	379			0			FALSE		WAR	248					5		0	國 語
8720		13	聖經中的領導者	8	吳獻章	校園	2003					加州	67			0			FALSE		WU	248.094					2		0	國 語
8721		9	宣教知多少	7	李秀全，李靜芝	校園	2003					加州	71			0			FALSE		WU	266					1		0	國 語
8722		17	講道	20	饒孝楫	校園	2000					加州	69			0			FALSE		RAO	255					2		0	國 語
8723		14	領人歸主	12	馮秉誠	校園	1999					加州	75			0			FALSE		FON	255					1		0	國 語
8724		0	101 生命故事	0	"Morgan , Robert j."	天恩	2003					台北	271			0			FALSE		MOR	248					4		0	國 語
8725		2	人生補羹	11	陳惠琬，蘇文安	天恩	2002					台北	249			12.95			FALSE		CHE	248					9		0	國 語
8726		8	使徒行傳 析讀	12	張建明，黃錫木	出道	2002					香港	184			13.95			FALSE		CHA	226					5		0	國 語
8727		11	基督的謙和勇士	11	許譚天鈞	天恩	2003					台北	291			0			FALSE		HSU	2267.3					2		0	國 語
8728		4	天 上 的 賞 賜	16	穆 亨 瑞	浸 信 會 文 子 中 心	1989					臺 北	151			0			FALSE		MU	248					0		0	國 語
8729		4	天 上 的 賞 賜		穆 亨 瑞	浸 信 會 文 子 中 心	1989					臺 北	151			0			FALSE		MU	248					2		0	國 語
8730	F	7	作你情侶的好情侶	7	李順長	校園	1999					臺 北	167			8.5			FALSE		MOR	249					1		0	國 語
8731		12	游 子 吟 永 恆 在 召 喚	7	里 程	使 者	2001					賓 州	360			0			FALSE		LI	239					4		0	國 語
8732		12	游 子 吟- 永 恆 在 召 喚	7	里 程	使 者	2001					賓 州	360			0			FALSE		LI	239					9		0	國 語
8733		3	上 帝 的 小 叮 嚀	13	honor book inc.	道 聲	1999					臺 北	154			0			FALSE		HON	248					4		0	國 語
8735		13	愛 呆 西 非 連 加 恩	11	連 加 恩	園 神	2004					臺 北	247			0			FALSE		LEN	267.1					8		0	國 語
8736		13	愛 是 坦 然 無 懼	0	"MILL, BILL"	福 音 証 主	2004	NAKED AND UNASHAMED				香 港	233			12.95			FALSE		MIL	249.13					3		0	國 語
8739		10	馬 可 福音	0	"ENGLISH,D"	校園	2004	THE MESSAGE OF MARK				臺北	341			17.95			FALSE		ENG	226					6		0	國 語
8740		13	路加福音	0	"WILCOCK, MICHAEL"	校園	2004	THE MESSAGE OF LUKE				臺北	285			14.95			FALSE		WIL	226					0		0	國 語
8741		4	天 長 地 久	12	黃朱倫，吳仲誠  ?校 園	2004	SONG OF SONGS				臺 北	264			12.95			FALSE		HUA	249.13					0		0	國 語	
8742			直 到 地 極	11	陳 終 道	宣 道	1998					香 港	418			19.95			FALSE			226.5					3		0	國 語
8743		12	創 世 啟 示	0	"BLOCHER, HENRI"	校 園	2000	REVELATION  DES ORIGINES				臺 北	318			13.95			FALSE		BLO	228					1		0	國 語
8744			穆 罕 默 德	0	"AMSTRONG,KAREN"	究 竟 出 版	2003	MUHAMMEAD:A BIOGRAPHY OF THE PROPHET				臺 北	419			17			FALSE		AMS	230.1					11		0	國 語
8745		15	論 領 導	0	"STOTT, JOHN"	校 園	2004	CALLING CHRISTIAN LEADERS				臺 北	128			7.95			FALSE		STO	255					0		0	國 語
8746		12	掌 握 人 生 發 球 權	12	張 德 培	雅 歌 社	2004	HOLDING SERVE				臺 北	284			14.95			FALSE		CHA	267.3					9		0	國 語
8747		13	愛 家 七 訣	0	"MACDONALD, JAMES"	雅 歌 社	2004	SEVEN WORDS TO CHANGE YOUR FAMILY				臺 北	251			12.95			FALSE		MAC	249.1					3		0	國 語
8748		12	偉 大 小 孩 養 成 術	0	TOWNSEND & CLOUD	校 園	2004	PARENTING WITH GRACE AND TRUTH				臺 北	282			12.95			FALSE		TOW	249.14					2		0	國 語
8749		5	平等裏有差別	0	"STRAUCH, ALEXANDER"	天糧書室`	2003	MEN AND WOMEND:EQUAL YET DIFFERENT				HONGKOMNG	157			6.95			FALSE		STR	249.13					0		0	國 語
8751		6	列王 記 (卷二 )	7	李保羅	天 道	2004					香 港	578			32			FALSE		LEE	220					2		0	國 語
8752		13	詩篇 (卷四)	12	張國定	天 道	2004					香 港	897			28			FALSE		HON	220					2		0	國 語
8753		11	從信心始祖亞伯拉罕談起	7	何述儉	校園	2004					臺北	256			9.95			FALSE			220.9					2		0	國 語
8754		9	祝福或咒詛	10	馬有藻	天恩	1999					臺北	166			9.95			FALSE			230.1					4		0	國 語
8755		2	人是什麼	12	"Flynn, Leslie B"	Living  Spring Publications.	1991					加州	134			7.5			FALSE		FLY	248					2		0	國 語
